RefsPieces,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
D5281001420000_NH4E,'TOD1-H00-901', '2CC1-B00-008', 'FCA1-650-000', 'FCA1-690-002', 'RTF1-N05-163', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-E00-014', '2CC1-D00-002', '2CH1-D00-001', 'AEX1-H44-001', '2CC1-B00-005', '2CC1-B00-508', '2CO1-D00-009',,,,,,,,,,,,,,
G0534695010310_NH4E,'TOD1-H00-009', 'FCA1-570-003', 'FCA1-250-001', 'FCA1-330-000', '2CC1-D00-011', '2CC1-B00-011', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,
V5311631520000_NH4E,'TOD1-H00-009', '2CC1-B00-009', '2CC1-D00-012', '2CC1-B00-012',,,,,,,,,,,,,,,,,,,,,,,,
V53324576026-02700_NH4E,'TOD1-H00-901', 'FAL1-C00-001', 'FCA1-A50-007', '2CC1-E00-005', '2CC1-E00-007', '2CC1-B00-003', 'FCA1-340-000', 'ACW1-360-003', '2CC1-B00-005', 'FCA1-D00-002', 'ACW1-016-663', '2CH1-800-001',,,,,,,,,,,,,,,,
F5311465120000_NH4E,'2CC1-F00-004', '2CC1-D00-004', 'FCA1-B30-000', '2CC1-B00-005', '2CC1-800-001', 'FCA1-320-002', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,
V5311199620000_VERS01_NH4E,'TOD1-H00-010', '2CC1-A00-006', '2CC1-D00-008', 'FCA1-250-100', 'FCA1-410-001', '2CC1-E00-014', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,
G053470101050110_NH4E,'2CC1-F00-003', 'FCA1-330-000', '2CC1-D00-022', '2CC1-B00-019', '2CC1-B00-020', '2CC1-B00-599',,,,,,,,,,,,,,,,,,,,,,
V9247541320400_NH4E,'TOD1-H00-009', '2CC1-B00-055', 'FCA1-430-001', '2CC1-B00-009', 'FCA1-250-100', 'FCA1-560-000', 'FCA1-820-002',,,,,,,,,,,,,,,,,,,,,
G0535014610701_NH4E,'TOD1-H00-901', '2CC1-B00-052', '2CC1-800-002', '2CO1-A00-002', '2CC1-E00-014', 'FCA1-720-000', '2CC1-D00-282', '2CC1-B00-054', 'FAL1-C00-001', 'FCA1-250-001', 'FCA1-330-000',,,,,,,,,,,,,,,,,
G0535526410301_NH4E,'TOD1-H00-901', '2CC1-B00-005', 'FCA1-250-002', 'FCA1-650-000', 'FAL1-C00-001', '2CC1-D00-006', '2CC1-E00-014', 'FAP1-800-001', '2CC1-800-401', 'FCA1-570-003', 'FCA1-340-001', '2CC1-B00-006', '2CC1-A00-005',,,,,,,,,,,,,,,
V5312700720000_NH4E,'TOD1-H00-009', 'FCA1-330-003', 'FCA1-250-001', 'FCA1-500-000', '2CC1-B00-010', 'AEX1-H46-001', '2CH1-D00-001', '2CC1-D00-047', '2CC1-800-401', '2CC1-B00-042',,,,,,,,,,,,,,,,,,
V5391096620000_VERS01_NH4E,'TOD1-H00-010', 'FCA1-410-000', 'FCA1-250-001', 'FCA1-560-000', '2CC1-800-044', '2CO1-A00-002', '2CC1-D00-008', '3PQ1-L00-011',,,,,,,,,,,,,,,,,,,,
V5392841200200_NH4E,'TOD1-H00-901', '2CC1-D00-009', '2CC1-B00-007', 'FCA1-980-000', 'ACW1-A00-004', '2CC1-B00-054', 'FCA1-370-001', 'FCA1-D00-002', '2CC1-B00-009', 'ACW1-016-672', '2CH1-D00-001', '2CC1-500-010',,,,,,,,,,,,,,,,
V5392802520000_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-D00-007', '2CC1-B00-042', '2CH1-D00-001', '2CC1-B00-011', 'FCA1-330-004', 'FCA1-360-002', 'FCA1-D00-002', 'ACW1-016-672',,,,,,,,,,,,,,,,,,
V5391192820040_NH4E,'2CC1-B00-002', '2CC1-E00-006', 'FCA1-980-000', 'FCA1-A00-001', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,,,
S2811001320000_NH4E,'FCA1-650-000', '2CC1-B00-009', 'FAL1-C00-001', '2CC1-E00-014', '2CC1-300-001', '2CC1-B00-008', 'FCA1-400-002', 'FCA1-250-001', '2CO1-B00-902', '2CC1-800-001', '2CC1-400-002',,,,,,,,,,,,,,,,,
